year,month,month_num,metric,value
2016,January,1,dogs_euthanised,0.0
2016,January,1,dogs_kennelled,21.0
2016,January,1,dogs_retained_by_finder,0.0
2016,January,1,dogs_returned_by_kennel_provider,10.0
2016,January,1,dogs_returned_by_warden,4.0
2016,January,1,dogs_seized,25.0
2016,February,2,dogs_euthanised,1.0
2016,February,2,dogs_kennelled,16.0
2016,February,2,dogs_retained_by_finder,2.0
2016,February,2,dogs_returned_by_kennel_provider,5.0
2016,February,2,dogs_returned_by_warden,1.0
2016,February,2,dogs_seized,20.0
2016,March,3,dogs_euthanised,1.0
2016,March,3,dogs_kennelled,22.0
2016,March,3,dogs_retained_by_finder,1.0
2016,March,3,dogs_returned_by_kennel_provider,4.0
2016,March,3,dogs_returned_by_warden,7.0
2016,March,3,dogs_seized,31.0
2016,April,4,dogs_euthanised,1.0
2016,April,4,dogs_kennelled,24.0
2016,April,4,dogs_retained_by_finder,0.0
2016,April,4,dogs_returned_by_kennel_provider,
2016,April,4,dogs_returned_by_warden,7.0
2016,April,4,dogs_seized,33.0
2016,May,5,dogs_euthanised,0.0
2016,May,5,dogs_kennelled,18.0
2016,May,5,dogs_retained_by_finder,0.0
2016,May,5,dogs_returned_by_kennel_provider,9.0
2016,May,5,dogs_returned_by_warden,6.0
2016,May,5,dogs_seized,24.0
2016,June,6,dogs_euthanised,0.0
2016,June,6,dogs_kennelled,25.0
2016,June,6,dogs_retained_by_finder,0.0
2016,June,6,dogs_returned_by_kennel_provider,11.0
2016,June,6,dogs_returned_by_warden,9.0
2016,June,6,dogs_seized,36.0
2016,July,7,dogs_euthanised,0.0
2016,July,7,dogs_kennelled,23.0
2016,July,7,dogs_retained_by_finder,1.0
2016,July,7,dogs_returned_by_kennel_provider,9.0
2016,July,7,dogs_returned_by_warden,2.0
2016,July,7,dogs_seized,26.0
2016,August,8,dogs_euthanised,1.0
2016,August,8,dogs_kennelled,19.0
2016,August,8,dogs_retained_by_finder,2.0
2016,August,8,dogs_returned_by_kennel_provider,7.0
2016,August,8,dogs_returned_by_warden,4.0
2016,August,8,dogs_seized,26.0
2016,September,9,dogs_euthanised,1.0
2016,September,9,dogs_kennelled,13.0
