year,month,month_num,dogs_euthanised,dogs_kennelled,dogs_retained_by_finder,dogs_returned_by_kennel_provider,dogs_returned_by_warden,dogs_seized,patrolled_no_dog_found,warden_advised_owners
2016,January,1,0.0,21.0,0.0,10.0,4.0,25.0,,
2016,February,2,1.0,16.0,2.0,5.0,1.0,20.0,,
2016,March,3,1.0,22.0,1.0,4.0,7.0,31.0,,
2016,April,4,1.0,24.0,0.0,,7.0,33.0,,
2016,May,5,0.0,18.0,0.0,9.0,6.0,24.0,,
2016,June,6,0.0,25.0,0.0,11.0,9.0,36.0,,
2016,July,7,0.0,23.0,1.0,9.0,2.0,26.0,,
2016,August,8,1.0,19.0,2.0,7.0,4.0,26.0,,
2016,September,9,1.0,13.0,0.0,2.0,5.0,19.0,,
2016,October,10,4.0,20.0,0.0,6.0,1.0,21.0,,
2016,November,11,0.0,19.0,0.0,,2.0,21.0,,
2016,December,12,0.0,18.0,0.0,,6.0,24.0,,
2017,January,1,1.0,18.0,1.0,6.0,5.0,23.0,,
2017,February,2,2.0,13.0,,2.0,5.0,18.0,,
2017,March,3,0.0,22.0,1.0,8.0,5.0,28.0,,
2017,April,4,1.0,15.0,,7.0,3.0,18.0,,
2017,May,5,2.0,19.0,,7.0,2.0,22.0,,
2017,June,6,1.0,11.0,,2.0,7.0,18.0,,
2017,July,7,0.0,17.0,1.0,7.0,1.0,19.0,,
2017,August,8,0.0,19.0,,7.0,6.0,25.0,,
2017,September,9,0.0,16.0,,8.0,4.0,20.0,,
2017,October,10,1.0,15.0,,5.0,3.0,19.0,,
2017,November,11,0.0,12.0,,5.0,2.0,14.0,,
2017,December,12,0.0,12.0,,,4.0,16.0,,
2018,January,1,0.0,12.0,1.0,4.0,1.0,13.0,,
2018,February,2,,13.0,,5.0,1.0,14.0,,
2018,March,3,,13.0,1.0,7.0,2.0,16.0,,
2018,April,4,,15.0,,5.0,3.0,18.0,,
2018,May,5,,12.0,,6.0,2.0,14.0,,
2018,June,6,,13.0,,10.0,5.0,18.0,,
2018,July,7,,10.0,1.0,1.0,2.0,13.0,,
2018,August,8,,8.0,,5.0,3.0,11.0,,
2018,September,9,,4.0,,3.0,4.0,8.0,,
2018,October,10,,16.0,,6.0,1.0,16.0,,
2018,November,11,,18.0,,10.0,0.0,18.0,,
2018,December,12,,14.0,,3.0,0.0,14.0,,
2019,January,1,0.0,9.0,2.0,11.0,2.0,13.0,,
2019,February,2,0.0,8.0,0.0,3.0,0.0,8.0,,
