2016,Number of Stray Dogs seized,Number of stray dogs kennelled,Number of dogs returned to owner by wardens,Number of dogs retained by the finder,Number of dogs returned to owner by kennel provider,Number of dogs euthanised during the 7 day statutory holding period
January,25,21,4,0,10,0
February,20,16,1,2,5,1
March,31,22,7,1,4,1
April,33,24,7,0,N/A,1
May,24,18,6,0,9,0
June,36,25,9,0,11,0
July,26,23,2,1,9,0
August,26,19,4,2,7,1
September,19,13,5,0,2,1
October,21,20,1,0,6,4
November,21,19,2,0,N/A,0
December,24,18,6,0,N/A,0
,,,,,,
Totals,306,238,54,6,63 (incomplete data),9
,,,,,,
"The net cost to RBC of delivering the stray dog collection service for the financial year 2016-17 was £25,322.62",,,,,,
