2017,Number of Stray Dogs seized,Number of stray dogs kennelled,Number of dogs returned to owner by wardens,Number of dogs retained by the finder,Number of dogs returned to owner by kennel provider,Number of dogs euthanised during the 7 day statutory holding period
January,23,18,5,1,6,1
February,18,13,5,,2,2
March,28,22,5,1,8,0
April,18,15,3,,7,1
May,22,19,2,,7,2
June,18,11,7,,2,1
July,19,17,1,1,7,0
August,25,19,6,,7,0
September,20,16,4,,8,0
October,19,15,3,,5,1
November,14,12,2,,5,0
December,16,12,4,,,0
,,,,,,
Totals,240,189,47,3,64,8
,,,,,,
,,,,,,
"The net cost to RBC of delivering the stray dog collection service for the financial year 2016-17 was £25,322.62
(At the time of publication financial data for 2017-18 is not available)",,,,,,
,,,,,,
,,,,,,
