2018,Number of stray dogs seized,Number of stray dogs kennelled,Number of dogs returned to owner by wardens,Number of dogs retained by the finder,Number of dogs returned to owner by kennel provider,Number of dogs euthanised during the 7 day statutory holding period
,,,,,,
,,,,,,
January,13,12,1,1,4,0
February,14,13,1,,5,
March,16,13,2,1,7,
April,18,15,3,,5,
May,14,12,2,,6,
June,18,13,5,,10,
July,13,10,2,1,1,
August,11,8,3,,5,
September,8,4,4,,3,
October,16,16,1,,6,
November,18,18,0,,10,
December,14,14,0,,3,
TOTALS,173,148,24,3,65,0
,,,,,,
NET COST,,,,,,
"£21,158.00",,,,,,
