2020,Number of stray dogs,Number of stray dogs kennelled,Number of dogs returned to owner by ,Number of dogs retained by the finder,Number of dogs returned to owner by kennel provider,Number of dogs euthanised during the 7 day statutory holding period
,seized,,wardens,,,
,,,,,,
January,12,5,1,0,4,2
February,8,3,0,0,5,0
March,8,6,0,0,2,0
April,7,6,0,1,6,0
May,8,8,0,0,2,0
June,4,4,0,0,1,0
July,6,5,0,1,2,0
August,7,4,2,1,3,0
September,9,3,6,0,0,0
October,14,10,4,0,4,0
November,6,6,0,0,3,0
December,5,4,1,0,3,0
,,,,,,
Totals,,,,,,
,,,,,,
,94,70,14,3,35,2
