2021,Number of stray dogs,Number of stray dogs kennelled,Number of dogs returned to owner by ,Number of dogs retained by the finder,Number of dogs returned to owner by kennel provider,Number of dogs euthanised during the 7 day statutory holding period
,seized,,wardens,,,
,,,,,,
January,5,5,0,0,3,0
February,3,2,0,1,1,0
March,8,6,1,1,2,0
April,11,6,4,1,4,0
May,1,1,0,0,1,0
June,12,7,5,0,5,0
July,6,3,3,0,1,0
August,8,5,3,0,1,0
September,3,2,1,0,2,0
October,11,8,1,1,4,0
November,3,3,0,0,1,0
December,6,4,2,0,1,0
,,,,,,
Totals,77,52,20,4,26,0
