2022,Number of stray dogs,Number of stray dogs kennelled,Number of dogs returned to owner by ,Patrolled Areas,Animal Warden,Number of dogs retained by the finder,Number of dogs returned to owner by kennel provider,Number of dogs euthanized during the 7 day statutory holding period
,seized,,Wardens,No Dog found on arrival,Advised,,,
,,,,,Owners,,,
,,,,,,,,
January,7,7,0,0,2,0,5,0
February,7,7,0,1,6,0,3,0
March,6,6,0,0,5,0,0,0
April,5,5,0,2,2,1,2,0
May,8,8,0,1,4,1,3,0
June,4,4,0,1,2,0,2,0
July,8,8,0,1,2,0,3,0
August,11,11,0,1,0,1,2,0
September,7,6,0,1,0,0,2,1
October,10,10,0,0,0,0,5,0
November,6,6,0,1,0,1,0,0
December,9,9,0,4,0,0,4,0
,,,,,,,,
Totals,88,87,0,13,23,4,4,1
