2023,Number of stray dogs,Number of stray dogs kennelled,Number of dogs returned to owner by ,Patrolled Areas,Animal Warden,Number of dogs retained by the finder,Number of dogs returned to owner by kennel provider,Number of dogs euthanized during the 7 day statutory holding period
,seized,,Wardens,No Dog found on arrival,Advised,,,
,,,,,Owners,,,
,,,,,,,,
January,12,12,0,0,0,0,3,0
February,4,4,0,1,0,0,2,0
March,7,7,0,0,0,0,0,0
April,11,11,2,1,0,0,1,0
May,6,6,0,0,0,0,3,0
June,9,9,0,0,0,0,3,0
July,4,4,0,1,0,0,1,0
August,6,6,0,0,0,2,2,0
September,6,6,0,1,0,1,1,0
October,12,12,0,0,0,0,3,0
November,8,8,1,0,0,0,0,0
December,6,6,0,0,0,0,0,0
,,,,,,,,
Totals,91,91,3,4,0,3,19,0
