2024,Number of stray dogs seized,Number of stray dogs kennelled,Number of dogs returned to owner by Wardens,Patrolled Areas No Dog found on arrival,Dog Warden service advised owners,Number of dogs retained by the finder,Number of dogs returned to owner by kennel provider,Number of dogs euthanized during the 7 day statutory holding period
,,,,,,,,
January,10,10,0,0,0,0,4,0
February,12,12,0,0,0,0,3,0
March,5,5,0,0,0,0,2,0
April,5,5,0,1,0,0,2,0
May,9,9,0,0,0,0,1,0
June,5,5,0,0,0,0,,0
July,7 (1 refused),9,0,0,0,0,2,0
August,2,4,0,0,0,0,3,0
September,10,10,0,0,0,0,1,0
October,6,6,2,1,0,0,2,0
November,7,7,0,0,0,0,1,0
December,9,9,0,Not collected by Police,0,0,1,0
,,,,,,,,
Totals,87,92,2,4,0,0,22,0
